Date,Note,Location,GPS,Source
"December 24, 2019 at 12:53PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"December 24, 2019 at 06:43PM",,MICU3 รพ.นครพิงค์,"18.85275000,98.96736900",foursquare-logged-in
"December 26, 2019 at 01:52PM",,Pankled Coffee (แป้นเกล็ด คอฟฟี่),"19.11508485,98.78500084",foursquare-logged-in
"December 27, 2019 at 08:55AM",,Om Garden Cafe,"19.35723428,98.44084742",foursquare-logged-in
"December 27, 2019 at 11:49AM",,Village Farm,"19.35782042,98.44968540",foursquare-logged-in
"December 27, 2019 at 01:16PM",,Tubpi,"19.35202100,98.44251000",foursquare-logged-in
"December 27, 2019 at 05:56PM",,Reverie Siam,"19.34871723,98.44245285",foursquare-logged-in
"December 28, 2019 at 08:57AM",,Café d'tist,"19.35903768,98.44491281",foursquare-logged-in
"December 28, 2019 at 11:44AM",,Lemon Thyme Cafe,"19.35813866,98.44466997",foursquare-logged-in
"December 28, 2019 at 12:46PM",,Art Farm Studio,"19.38733900,98.44808000",foursquare-logged-in
"December 28, 2019 at 04:35PM",,ศูนย์วัฒนธรรมจีนยูนนาน,"19.37094100,98.40335700",foursquare-logged-in
"December 28, 2019 at 07:11PM",,Baan Suan Mae Rim Restaurant (บ้านสวนแม่ริม),"18.94452533,98.94478418",foursquare-logged-in
"December 28, 2019 at 08:42PM",,Caltex (คาลเท็กซ์),"18.91780375,98.94388970",foursquare-logged-in
"December 29, 2019 at 12:34PM",,Lumdee Te Khuadang (ลำดีตี้ขัวแดง),"18.79842642,99.03323750",foursquare-logged-in
"December 30, 2019 at 06:31PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"December 31, 2019 at 11:02AM",,Makro (แม็คโคร),"18.78541355,99.02844478",foursquare-logged-in
"January 01, 2020 at 12:51PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"January 01, 2020 at 06:53PM",,Terra,"18.91670200,98.93175500",foursquare-logged-in
"January 03, 2020 at 10:17AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"January 04, 2020 at 10:01AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"January 07, 2020 at 12:06PM",,Siam Commercial Bank (ธนาคารไทยพาณิชย์),"18.79886644,98.96710185",foursquare-logged-in
"January 07, 2020 at 12:26PM",,Manifreshto,"18.79869747,98.96861819",foursquare-logged-in
"January 08, 2020 at 06:42PM",,Doi Pui,"18.81570396,98.88464014",foursquare-logged-in
"January 11, 2020 at 02:53PM",,The Garden Restaurant,"18.81922946,99.02042434",foursquare-logged-in
"January 12, 2020 at 06:35PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"January 19, 2020 at 03:40PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"January 20, 2020 at 06:31PM",,ครัวดวงสมพงษ์,"18.89672414,98.94844711",foursquare-logged-in
"January 23, 2020 at 01:35PM",,Food4thought,"18.80609601,98.96137775",foursquare-logged-in
"January 25, 2020 at 10:34AM",,NM Dental Clinic,"18.81097100,99.02797100",foursquare-logged-in
"January 25, 2020 at 11:43AM",,Jario Coffee (จาริโอ้ คอฟฟี่),"18.82797849,99.01232184",foursquare-logged-in
"January 26, 2020 at 04:02PM",,Lamona View Swimming Pool,"18.91610200,98.94262100",foursquare-logged-in
"February 02, 2020 at 07:44PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"February 05, 2020 at 06:14PM",,salsa kitchen,"18.82658885,99.00693300",foursquare-logged-in
"February 14, 2020 at 06:28PM",,Ginger Farm Kitchen (จินเจอร์ ฟาร์ม คิทเช่น),"18.79998891,98.96758432",foursquare-logged-in
"February 15, 2020 at 11:37AM",,SUBWAY (ซับเวย์),"18.82399023,99.01177262",foursquare-logged-in
"February 15, 2020 at 06:49PM",,Terra,"18.91670200,98.93175500",foursquare-logged-in
"February 23, 2020 at 01:35PM",,Wat Phrathat Chum Mueang (วัดพระธาตุชุ่มเมือง),"18.92108600,98.90072500",foursquare-logged-in
"February 23, 2020 at 06:55PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"February 28, 2020 at 07:49PM",,Oh Ka Ju Organic Salad & Coffee (สวนผักโอ้กะจู๋),"18.84058932,99.02469535",foursquare-logged-in
"February 29, 2020 at 07:39PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"March 07, 2020 at 12:41PM",,SUBWAY (ซับเวย์),"18.82399023,99.01177262",foursquare-logged-in
"March 14, 2020 at 01:14PM",,The Duke's (เดอะดุ๊กส์),"18.76628240,99.03722663",foursquare-logged-in
"March 18, 2020 at 06:18PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"March 21, 2020 at 04:45PM",,Caltex พรหมพิราม,"17.09635667,100.31048657",foursquare-logged-in
"March 21, 2020 at 06:58PM",,โบราณนิยม @ เขาค้อ,"16.64220641,101.00128785",foursquare-logged-in
"March 21, 2020 at 08:34PM",,View Point Khao Kho Hotel (โรงแรมวิวพอยท์ เขาค้อ),"16.64242000,100.99758700",foursquare-logged-in
"March 22, 2020 at 10:21AM",,180All Day All Season,"16.63550826,100.99633322",foursquare-logged-in
"March 22, 2020 at 02:14PM",,PTT (ปตท.),"15.04476500,100.56319200",foursquare-logged-in
"March 22, 2020 at 06:24PM",,Wat Khao Chong Pran (วัดเขาช่องพราน),"13.71749164,99.77133507",foursquare-logged-in
"March 23, 2020 at 07:11AM",,The Sun Resort,"13.51315200,99.80193600",foursquare-logged-in
"March 23, 2020 at 10:23AM",,PTT Park Station (ปตท. พาร์ค),"13.30533361,99.82534350",foursquare-logged-in
"March 23, 2020 at 10:33AM",,Starbucks (สตาร์บัคส์),"13.30295800,99.82478900",foursquare-logged-in
"March 23, 2020 at 12:43PM",,Ao Noi Beach,"11.85057216,99.82467413",foursquare-logged-in
"March 23, 2020 at 01:47PM",,Ao Manao (อ่าวมะนาว),"11.77277587,99.79596376",foursquare-logged-in
"March 23, 2020 at 04:35PM",,สะพานปลาทับสะแก,"11.50227653,99.63325147",foursquare-logged-in
"March 23, 2020 at 06:26PM",,หาดสน รีสอร์ท,"11.09182818,99.49046294",foursquare-logged-in
"March 23, 2020 at 07:09PM",,Café Fishery,"11.09171515,99.48907614",foursquare-logged-in
"March 24, 2020 at 09:09AM",,Café Fishery,"11.09171515,99.48907614",foursquare-logged-in
"March 24, 2020 at 11:54AM",,Bang Boet Beach (หาดบางเบิด),"10.98721044,99.49552417",foursquare-logged-in
"March 24, 2020 at 12:04PM",,โครงการพัฒนาส่วนพระองค์ บ้านบางเบิด,"10.95990801,99.48892456",foursquare-logged-in
"March 24, 2020 at 12:25PM",,Sand Dune in Chumphon (เนินทรายงามที่ชุมพร),"10.93448300,99.49140000",foursquare-logged-in
"March 24, 2020 at 12:39PM",,Wat Kaew Prasert (วัดแก้วประเสริฐ),"10.88988068,99.47501873",foursquare-logged-in
"May 19, 2020 at 06:37PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"May 23, 2020 at 08:55AM",,NM Dental Clinic,"18.81097100,99.02797100",foursquare-logged-in
"May 23, 2020 at 06:10PM",,Baan Suan Mae Rim Restaurant (บ้านสวนแม่ริม),"18.94452533,98.94478418",foursquare-logged-in
"June 01, 2020 at 06:57PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"June 24, 2020 at 06:10PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"June 26, 2020 at 07:35PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"July 16, 2020 at 02:13PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"August 01, 2020 at 09:55AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"August 12, 2020 at 08:25AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"August 20, 2020 at 04:53PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"August 29, 2020 at 03:35PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"September 02, 2020 at 06:06PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"September 11, 2020 at 05:54PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"October 10, 2020 at 09:18AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"October 11, 2020 at 04:51PM",,Lamona View Swimming Pool,"18.91610200,98.94262100",foursquare-logged-in
"October 17, 2020 at 05:23PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"November 08, 2020 at 02:40PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"November 19, 2020 at 12:46PM",,Food4thought,"18.80609601,98.96137775",foursquare-logged-in
"November 27, 2020 at 05:58PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"December 05, 2020 at 01:14PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"December 19, 2020 at 06:29PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"December 22, 2020 at 06:56PM",,Tubpi,"19.35202100,98.44251000",foursquare-logged-in
"December 23, 2020 at 06:58PM",,Tubpi,"19.35202100,98.44251000",foursquare-logged-in
"December 26, 2020 at 11:17AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"December 27, 2020 at 02:53PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"January 01, 2021 at 06:37PM",,Baan Suan Mae Rim Restaurant (บ้านสวนแม่ริม),"18.94452533,98.94478418",foursquare-logged-in
"January 26, 2021 at 08:14AM",,Manifreshto,"18.79869747,98.96861819",foursquare-logged-in
"January 29, 2021 at 08:30AM",,Manifreshto,"18.79869747,98.96861819",foursquare-logged-in
"February 02, 2021 at 07:06PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"February 06, 2021 at 01:40PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"February 20, 2021 at 09:45AM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"March 20, 2021 at 07:23PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"April 09, 2021 at 07:08PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"April 21, 2021 at 06:27PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"June 06, 2021 at 05:30PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"June 11, 2021 at 06:28PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"June 12, 2021 at 01:00PM",,MICU3 รพ.นครพิงค์,"18.85275000,98.96736900",foursquare-logged-in
"August 09, 2022 at 08:35PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"August 10, 2022 at 04:40AM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"August 12, 2022 at 07:05PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"August 13, 2022 at 08:57PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
"August 14, 2022 at 04:23AM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"August 16, 2022 at 11:04PM",,Omelette Bakery Cafe,"18.91542055,98.94218037",foursquare-logged-in
